Owner,Schedule,Location,Day of Week,Start,End,Hours,Requests,Requesters
brl51,BUS-BEST-Cons,Busch Campus,Friday,8:00AM,11:30AM,3.5,11,"ac1109 (1), rp928 (1), bkw27 (2), aar195 (3), brl51 (1), jfm203 (1), msm322 (1), jbm200 (4), vs543 (1), an646 (5), eg560 (2)"
bwr29,BUS-LSM-Cons,Busch Campus,Tuesday,11:30AM,3:00PM,3.5,9,"ajf224 (3), ejc185 (5), ac1109 (5), an588 (1), srg154 (2), brl51 (5), jbm200 (5), bwr29 (3), dpc121 (1)"
bwr29,BUS-ARC-Cons,Busch Campus,Thursday,11:45AM,3:15PM,3.5,10,"esr59 (2), kt427 (2), yw559 (1), ca571 (5), jbm200 (5), jje77 (1), bwr29 (1), bjr117 (1), eg560 (1), bjg144 (4)"
bwr29,BUS-ARC-Cons,Busch Campus,Friday,3:15PM,6:30PM,3.25,25,"cjk171 (1), yf184 (3), lo153 (5), srp221 (1), rgd51 (1), ktm96 (3), jrb340 (3), ajb384 (5), tjb234 (2), ap1614 (3), jbm200 (5), ajc423 (2), bar151 (3), jwn32 (3), js2585 (2), jp1682 (1), bwr29 (1), dpc121 (1), jl2169 (2), aab283 (1), ava45 (2), gak87 (2), an646 (1), bhp38 (1), bjr117 (2)"
bwr29,BUS-ARC-Cons,Busch Campus,Tuesday,11:45AM,3:15PM,3.5,0,
bwr29,BUS-ARC-Cons,Busch Campus,Wednesday,3:15PM,6:30PM,3.25,0,
ca571,BUS-LSM-Cons,Busch Campus,Monday,9:45PM,1:30AM,3.75,4,"ajl271 (4), jfm203 (3), ca571 (2), dpc121 (5)"
ca571,BUS-BEST-Cons,Busch Campus,Tuesday,10:15PM,2:00AM,3.75,3,"ajl271 (3), ca571 (1), dpc121 (5)"
ca571,BUS-RBHS-Cons,Busch Campus,Wednesday,10:45AM,1:15PM,2.5,6,"lo153 (5), aak219 (1), sr1193 (2), aar195 (1), ca571 (2), an646 (1)"
ca571,BUS-LSM-Cons,Busch Campus,Thursday,11:30AM,3:00PM,3.5,8,"bk396 (3), esr59 (3), ac1109 (3), kt427 (1), rp928 (1), ca571 (2), jbm200 (5), jje77 (1)"
ca571,BUS-LSM-Cons,Busch Campus,Tuesday,11:30AM,3:00PM,3.5,0,
cjk171,BUS-LSM-Cons,Busch Campus,Saturday,8:30PM,11:30PM,3,6,"cjk171 (2), ap1614 (1), jbm200 (4), jsq8 (5), gak87 (3), uls2 (4)"
cjk171,BUS-LSM-Cons,Busch Campus,Sunday,6:00PM,9:00PM,3,9,"cjk171 (2), yf184 (3), ajl271 (2), sr1193 (1), sy519 (4), njh45 (4), jbm200 (4), jsq8 (3), dpc121 (1)"
cjk171,BUS-LSM-Cons,Busch Campus,Sunday,9:00PM,12:00AM,3,9,"cjk171 (2), ajl271 (3), bmw110 (4), rp928 (2), sr1193 (5), sy519 (2), jbm200 (5), jsq8 (4), dpc121 (3)"
cli14,BUS-RBHS-Cons,Busch Campus,Monday,8:15AM,10:45AM,2.5,3,"sx63 (1), ttl39 (2), cli14 (1)"
cli14,BUS-RBHS-Cons,Busch Campus,Monday,10:45AM,1:15PM,2.5,5,"gp251 (3), sx63 (1), smk333 (2), aar195 (1), cli14 (1)"
cli14,BUS-ARC-Cons,Busch Campus,Thursday,8:00AM,11:45AM,3.75,8,"rp928 (2), jrb340 (3), cli14 (1), jbm200 (4), kwl47 (1), jje77 (1), hp408 (4), spp131 (4)"
cli14,BUS-ARC-Cons,Busch Campus,Tuesday,8:00AM,11:45AM,3.75,0,
dpc121,BUS-ARC-Cons,Busch Campus,Sunday,10:00PM,2:00AM,4,5,"rp928 (2), jsq8 (4), jwn32 (1), ejc190 (1), dpc121 (1)"
dpc121,BUS-ARC-Cons,Busch Campus,Monday,10:15PM,2:00AM,3.75,4,"ed422 (1), jfm203 (1), ca571 (3), ava45 (5)"
dpc121,BUS-ARC-Disp,Busch Campus,Tuesday,1:30PM,4:45PM,3.25,3,"dpc121 (1), aab283 (1), bjg144 (1)"
dpc121,BUS-ARC-Cons,Busch Campus,Thursday,3:00PM,5:30PM,2.5,2,"ztm8 (1), dpc121 (1)"
dpc121,BUS-ARC-Cons,Busch Campus,Thursday,3:00PM,5:30PM,2.5,0,
dpc121,BUS-ARC-Cons,Busch Campus,Tuesday,3:00PM,5:30PM,2.5,0,
ed422,BUS-ARC-Cons,Busch Campus,Monday,9:30PM,2:00AM,4.5,0,
ed422,BUS-ARC-Cons,Busch Campus,Tuesday,8:00PM,11:00PM,3,1,ed422 (2)
ed422,BUS-ARC-Cons,Busch Campus,Tuesday,11:00PM,2:00AM,3,1,ed422 (2)
ed422,BUS-ARC-Cons,Busch Campus,Thursday,8:00PM,11:00PM,3,2,"ed422 (2), kt427 (2)"
ed422,BUS-ARC-Cons,Busch Campus,Thursday,11:00PM,2:00AM,3,1,ed422 (2)
ed422,BUS-ARC-Cons,Busch Campus,Tuesday,8:00PM,11:00PM,3,0,
ed422,BUS-ARC-Cons,Busch Campus,Tuesday,11:00PM,2:00AM,3,0,
eg560,BUS-ARC-Cons,Busch Campus,Saturday,2:45PM,6:00PM,3.25,15,"sa1110 (4), rgd51 (1), vsl22 (1), jrb340 (3), srg154 (5), ap1614 (3), msm322 (1), jbm200 (1), ajc423 (3), jsq8 (1), gct20 (2), jje77 (5), aab283 (1), bhp38 (2), eg560 (1)"
eg560,BUS-RBHS-Cons,Busch Campus,Thursday,10:45AM,1:15PM,2.5,7,"gp251 (3), smk333 (2), kt427 (1), aar195 (2), cli14 (1), pkc42 (2), eg560 (1)"
eg560,BUS-RBHS-Cons,Busch Campus,Thursday,1:15PM,4:30PM,3.25,6,"esr59 (4), rgd51 (1), ca571 (3), jbm200 (5), eg560 (1), uls2 (2)"
eg560,BUS-RBHS-Cons,Busch Campus,Friday,8:15AM,10:45AM,2.5,1,eg560 (3)
eg560,BUS-RBHS-Cons,Busch Campus,Tuesday,10:45AM,1:15PM,2.5,0,
eg560,BUS-RBHS-Cons,Busch Campus,Tuesday,1:15PM,4:30PM,3.25,0,
eg560,BUS-RBHS-Cons,Busch Campus,Wednesday,8:15AM,10:45AM,2.5,0,
